tweet;durum
dun Turkcelle tepkilerimizden sonra bugün Turkcell twittera sponsor olmuş. Ne tesadüf değil mi ? :);1
girmezmiyim.. Turkcell kartim bile var.. Yarindan itibaren onu takicam.. Twittersiz denedim sadece 3 gun yapabildim:)))));1
tam tünelden gecerken 3g cekiyordu :D türkcell'in reklamlari vodafone' harekete gecirmis olmali:);1
turkcell superonline fiber internet veya ADSL ve sabit telefon hizmetleri;1
bence Gnçtrkcll Ark Winterfest 2012'de 1.olur da gelir :);1
turkcell sana kıyak geçiyor :D;1
"Turkcelle bağlan hayata diyorum ;)))";1
Kimse takmıyo beni yaaaaa, turkcell bana mesaj aaat :D;1
Bu Turkcell pusula uygulaması iPhone kullanıcıları için büyük nimet. Oturduğum yerden nöbetçi eczane kaç metre ötemde bana söylüyor.;1
o zaman sorun yok bende turkcell için iyi bir tarife arıyorum ama ne yapsam karar veremedim fikir versene:);1
"Samsung ve Turkcell’den Kaçırılmayacak Kampanya: Samsung ; her an bağlantıda kalmanızı sağlayan qwerty klavyeli ...";1
İnovasyon ödülü 'Turkcell'in !;1
Pazar gunlerı sanslı gunummuss turkcellılerle bedava konuscakmısımm sagol varol turkcell  kahrol avea;1
Büyük ödül Turkcell Teknoloji'ye;1
Hadi Yine süpersiniz, iyi sıyırdınız. Iphone 4s olayından;1
superonline fiber internet hizmeti adresinizde varsa tavsiye ederim cok hizli hesapli kesilmiyor ve kimse aramiyor bu arada ++;1
"kesinlikle Süperonline.Hatta tivibuyu da öneririm.gayet güzel imkanları var;)";1
hayat paylaşınca güzel la la laaa laa laaa la laaa ((:;1
özturkcell seninle ölmeye geldik özturkceeeeeellllll :))) ( hasan doğan spor kompleksi);1
eyvallah, hayat paylaşınca güzel :));1
Bi Turkcell , bi de Coca-Cola reklamları beni derinden etkliyo lan;1
teşekkür ederim selocan:));1
bu akşam turkcell belejj film gecesi,yani gnç turkcell şifresi paylaşım gecesi, katkılarınızı bekliorum, sanata ve sinemaya katkı babında :);1
evet turkcell ile denedim bir sıkıntı çıkmadı , jb siz avea için herhangi bir çözüm varmı ? #avea #aveadestek;1
maNga konseri, bugün saat 15:00'te canlı yayınla  adresinde! Hayat müziği paylaşınca güzel :);1
"ÇAKMA İPHONE4'ÜM VAR TURKCELL 1GB TEL İNTERNETİM VAR SABAH AKŞAM BURADAYIM SÜPER NE LİMİT NE KESİNTİ ""SAĞOL ÇİN+TURKCELL""  EMEKLİĞE KIYAK!!";1
:) :) yanlızken kim mutlu olmuşki seen olasın ? Kendini kandırma ! Bak sertb abla ne diyo ? Hayat paylaşınca güzel !;1
turkcell superonline;1
